year,player,pos,ht,wt,team,selection_type,nba_draft_status,nationality
2000,Tracy McGrady,GF,2017-06-08,210,Orlando Magic,Eastern All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States
2000,Vince Carter,SF,2017-06-06,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States
2000,Alonzo Mourning,C,2017-06-10,240,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 2,United States
2000,Grant Hill,SF,2017-06-08,225,Orlando Magic,Eastern All-Star Fan Vote Selection,1994 Rnd 1 Pick 3,United States
2000,Ray Allen,SG,2017-06-05,205,Milwaukee Bucks,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States
2000,Antonio Davis,FC,2017-06-09,245,Toronto Raptors,Eastern All-Star Replacement Selection,1990 Rnd 2 Pick 18,United States
2000,Theo Ratliff,C,2017-06-10,235,Philadelphia Sixers,Eastern All-Star Coaches Selection,1995 Rnd 1 Pick 18,United States
2000,Glenn Robinson,SF,2017-06-07,225,Milwaukee Bucks,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 1,United States
2000,Jerry Stackhouse,SF,2017-06-06,218,Detroit Pistons,Eastern All-Star Coaches Selection,1995 Rnd 1 Pick 3,United States
2000,Stephon Marbury,G,2017-06-02,180,New Jersey Nets,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 4,United States
2000,Anthony Mason,PF,2017-06-07,250,Miami Heat,Eastern All-Star Coaches Selection,1988 Rnd 3 Pick 3,United States
2000,Dikembe Mutombo,C,2017-07-02,260,Atlanta Hawks,Eastern All-Star Replacement Selection,1991 Rnd 1 Pick 4,Democratic Republic of the Congo
2000,Latrell Sprewell,SG,2017-06-05,190,New York Knicks,Eastern All-Star Replacement Selection,1992 Rnd 1 Pick 24,United States
2000,Allan Houston,G,2017-06-06,205,New York Knicks,Eastern All-Star Coaches Selection,1993 Rnd 1 Pick 11,United States
2000,Jason Kidd,PG,2017-06-04,210,Phoenix Suns,Western All-Star Fan Vote Selection,1994 Rnd 1 Pick 2,United States
2000,Kobe Bryant,SG,2017-06-06,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States
2000,Tim Duncan,FC,2017-06-11,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States
2000,Shaquille O'Neal,C,2017-07-01,325,Los Angeles Lakers,Western All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
2000,Chris Webber,F-C,2017-06-09,245,Sacramento Kings,Western All-Star Fan Vote Selection,1993 Rnd 1 Pick 1,United States
2000,Michael Finley,G-F,2017-06-07,225,Dallas Mavericks,Western All-Star Coaches Selection,1995 Rnd 1 Pick 21,United States
2000,Kevin Garnett,PF,2017-06-11,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1995 Rnd 1 Pick 5,United States
2000,Karl Malone,PF,2017-06-09,265,Utah Jazz,Western All-Star Coaches Selection,1985 Rnd 1 Pick 13,United States
2000,Antonio McDyess,F,2017-06-09,245,Denver Nuggets,Western All-Star Coaches Selection,1995 Rnd 1 Pick 2,United States
2000,Gary Payton,G,2017-06-04,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States
2000,Rasheed Wallace,FC,2017-06-11,230,Portland Trail Blazers,Western All-Star Coaches Selection,1995 Rnd 1 Pick 4,United States
2000,David Robinson,C,2017-07-01,250,San Antonio Spurs,Western All-Star Coaches Selection,1987 Rnd 1 Pick 1,United States
2000,Vlade Divac,C,2017-07-01,260,Sacramento Kings,Western All-Star Replacement Selection,1989 Rnd 1 Pick 26,Serbia
