draft_year,round,pick,team,player,college,yrs,g,mp,pts,trb,ast,fg,3p,ft,minuts_played,points,total_rebounds,assists,win_share,win_sharess_48,box_plus_minus,value_over_replacement
2010,2,54,LAC,Willie Warren,University of Oklahoma,1,19,134,37,12,27,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-4.5,-0.1
2010,2,55,UTA,Jeremy Evans,Western Kentucky University,6,249,2621,877,640,107,0.568,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,1.1,2
2010,2,56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013,-4.9,-0.1
2010,2,57,IND,Ryan Reid,Florida State University,1,5,17,8,2,0,0.8,,,3.4,1.6,0.4,0,0.1,0.142,-5.5,0
2010,2,58,LAL,Derrick Caracter,University of Texas at El Paso,1,41,215,81,43,7,0.485,,0.739,5.2,2,1,0.2,0.3,0.057,-4.9,-0.2
2010,2,59,ORL,Stanley Robinson,University of Connecticut,,,,,,,,,,,,,,,,,
2010,2,60,PHO,Dwayne Collins,University of Miami,,,,,,,,,,,,,,,,,
2009,1,1,LAC,Blake Griffin,University of Oklahoma,7,436,15366,9352,4157,1777,0.519,0.266,0.666,35.2,21.4,9.5,4.1,57.7,0.18,4.1,23.5
2009,1,2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4
2009,1,3,OKC,James Harden,Arizona State University,8,574,19205,12403,2769,3092,0.443,0.366,0.854,33.5,21.6,4.8,5.4,84.4,0.211,5.7,37.1
2009,1,4,SAC,Tyreke Evans,University of Memphis,8,444,14619,7301,2152,2334,0.445,0.289,0.759,32.9,16.4,4.8,5.3,23.3,0.076,0.9,10.7
2009,1,5,MIN,Ricky Rubio,,6,311,9786,3057,1325,2552,0.369,0.311,0.818,31.5,9.8,4.3,8.2,19.4,0.095,1.3,8.2
2009,1,6,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7
2009,1,7,GSW,Stephen Curry,Davidson College,8,534,18574,12054,2319,3623,0.476,0.44,0.904,34.8,22.6,4.3,6.8,77.6,0.201,6.2,38.2
2009,1,8,NYK,Jordan Hill,University of Arizona,8,407,7685,3230,2388,322,0.497,0.136,0.699,18.9,7.9,5.9,0.8,16.4,0.103,-2,0.1
2009,1,9,TOR,DeMar DeRozan,University of Southern California,8,559,19011,10507,2243,1515,0.445,0.28,0.827,34,18.8,4,2.7,40.3,0.102,-1,4.6
2009,1,10,MIL,Brandon Jennings,,8,498,15735,7474,1536,2905,0.39,0.348,0.797,31.6,15,3.1,5.8,29,0.088,0.7,10.9
2009,1,11,NJN,Terrence Williams,University of Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-3.8,-1.4
2009,1,12,CHA,Gerald Henderson,Duke University,8,494,12951,5622,1611,946,0.443,0.327,0.793,26.2,11.4,3.3,1.9,17.4,0.064,-2.2,-0.5
2009,1,13,IND,Tyler Hansbrough,University of North Carolina,7,428,7233,2881,1808,181,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2.5,-1
2009,1,14,PHO,Earl Clark,University of Louisville,6,261,3630,1138,778,134,0.403,0.328,0.664,13.9,4.4,3,0.5,2.9,0.038,-3.6,-1.5
2009,1,15,DET,Austin Daye,Gonzaga University,6,293,4132,1522,764,212,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2.6,-0.6
2009,1,16,CHI,James Johnson,Wake Forest University,8,433,8145,3005,1430,683,0.478,0.295,0.688,18.8,6.9,3.3,1.6,13.9,0.082,1,6.2
2009,1,17,PHI,Jrue Holiday,"University of California, Los Angeles",8,461,14809,6504,1620,2829,0.438,0.367,0.794,32.1,14.1,3.5,6.1,23.9,0.078,0.8,10.5
2009,1,18,MIN,Ty Lawson,University of North Carolina,8,519,15287,6611,1428,3137,0.459,0.362,0.768,29.5,12.7,2.8,6,40,0.126,0.8,10.6
2009,1,19,ATL,Jeff Teague,Wake Forest University,8,556,14735,6885,1267,2970,0.447,0.352,0.839,26.5,12.4,2.3,5.3,36.9,0.12,0,7.6
2009,1,20,UTA,Eric Maynor,Virginia Commonwealth University,5,267,3896,1141,348,760,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041,-4.7,-2.7
2009,1,21,NOH,Darren Collison,"University of California, Los Angeles",8,525,15461,6625,1383,2530,0.467,0.374,0.851,29.4,12.6,2.6,4.8,33.1,0.103,-0.2,6.9
2009,1,22,POR,Victor Claver,,3,80,1072,258,178,56,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,-3.3,-0.4
2009,1,23,SAC,Omri Casspi,,8,484,10447,4057,2017,573,0.442,0.368,0.675,21.6,8.4,4.2,1.2,16,0.073,-1.4,1.5
2009,1,24,DAL,Byron Mullens,Ohio State University,5,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4.6,-2.3
2009,1,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,-0.1,1.4
2009,1,26,CHI,Taj Gibson,University of Southern California,8,546,13744,5101,3477,551,0.494,0.083,0.694,25.2,9.3,6.4,1,36.1,0.126,0,7
2009,1,27,MEM,DeMarre Carroll,University of Missouri,8,375,8493,3024,1413,424,0.451,0.372,0.724,22.6,8.1,3.8,1.1,20.3,0.115,1.3,7.2
2009,1,28,MIN,Wayne Ellington,University of North Carolina,8,473,9424,3441,991,521,0.411,0.371,0.849,19.9,7.3,2.1,1.1,8.4,0.043,-3,-2.4
2009,1,29,LAL,Toney Douglas,Florida State University,8,376,7224,2927,830,849,0.405,0.359,0.823,19.2,7.8,2.2,2.3,11.8,0.078,-0.6,2.6
2009,1,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4,-0.5
2009,2,31,SAC,Jeff Pendergraph,Arizona State University,6,237,2322,690,632,99,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,-1.4,0.4
2009,2,32,WAS,Jermaine Taylor,University of Central Florida,2,65,786,351,108,48,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.014,-4.6,-0.5
2009,2,33,POR,Dante Cunningham,Villanova University,8,538,11390,3236,2022,387,0.466,0.305,0.651,21.2,6,3.8,0.7,18.2,0.077,-1.2,2.4
2009,2,34,DEN,Sergio Llull,,,,,,,,,,,,,,,,,,
2009,2,35,DET,DaJuan Summers,Georgetown University,4,83,820,278,82,29,0.384,0.367,0.642,9.9,3.3,1,0.3,-0.1,-0.008,-6.4,-0.9
2009,2,36,MEM,Sam Young,University of Pittsburgh,4,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.9,-0.9
2009,2,37,SAS,DeJuan Blair,University of Pittsburgh,7,424,7054,2865,2153,349,0.524,0,0.608,16.6,6.8,5.1,0.8,19,0.129,0.4,4.2
2009,2,38,POR,Jon Brockman,University of Washington,3,150,1570,320,472,49,0.488,0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-2.1,0
2009,2,39,DET,Jonas Jerebko,,7,448,8370,2905,1841,347,0.459,0.356,0.768,18.7,6.5,4.1,0.8,18.2,0.104,-0.8,2.5
2009,2,40,CHA,Derrick Brown,Xavier University,3,171,2554,895,413,119,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.6,0.2
2009,2,41,MIL,Jodie Meeks,University of Kentucky,8,437,10535,4283,942,484,0.421,0.374,0.883,24.1,9.8,2.2,1.1,21.6,0.099,-0.3,4.5
2009,2,42,LAL,Patrick Beverley,University of Arkansas,5,250,7034,2312,957,814,0.415,0.376,0.768,28.1,9.2,3.8,3.3,16.8,0.115,1.9,7
2009,2,43,MIA,Marcus Thornton,Louisiana State University,8,483,11299,5750,1348,676,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20,0.085,-0.8,3.4
2009,2,44,DET,Chase Budinger,University of Arizona,7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,-1.4,1.2
2009,2,45,MIN,Nick Calathes,University of Florida,2,129,2011,590,243,353,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.7,0.6
2009,2,46,CLE,Danny Green,University of North Carolina,8,432,10729,3897,1468,693,0.429,0.407,0.818,24.8,9,3.4,1.6,29,0.13,3.4,14.7
2009,2,47,MIN,Henk Norel,,,,,,,,,,,,,,,,,,
2009,2,48,PHO,Taylor Griffin,University of Oklahoma,1,8,32,10,2,1,0.4,0,0.5,4,1.3,0.3,0.1,0,-0.039,-7.3,0
2009,2,49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,,,
2009,2,50,UTA,Goran Suton,Michigan State University,,,,,,,,,,,,,,,,,
2009,2,51,SAS,Jack McClinton,University of Miami,,,,,,,,,,,,,,,,,
2009,2,52,IND,A.J. Price,University of Connecticut,6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-2.4,-0.4
2009,2,53,SAS,Nando De Colo,,2,119,1414,453,211,203,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.8,0.4
2009,2,54,CHA,Robert Vaden,University of Alabama at Birmingham,,,,,,,,,,,,,,,,,
2009,2,55,POR,Patrick Mills,Saint Mary's College of California,8,399,6567,3091,603,810,0.439,0.393,0.849,16.5,7.7,1.5,2,17.7,0.129,1,4.9
2009,2,56,DAL,Ahmad Nivins,Saint Joseph's University,,,,,,,,,,,,,,,,,
2009,2,57,PHO,Emir Preldzic,,,,,,,,,,,,,,,,,,
2009,2,58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,-2.7,-0.1
2009,2,59,LAL,Chinemelu Elonu,Texas A&M University,,,,,,,,,,,,,,,,,
2009,2,60,MIA,Robert Dozier,University of Memphis,,,,,,,,,,,,,,,,,
2008,1,1,CHI,Derrick Rose,University of Memphis,8,439,15264,8572,1618,2663,0.448,0.3,0.816,34.8,19.5,3.7,6.1,32.3,0.102,0.7,10.4
2008,1,2,MIA,Michael Beasley,Kansas State University,9,484,11542,6158,2298,619,0.455,0.346,0.759,23.8,12.7,4.7,1.3,12.1,0.05,-3.5,-4.2
2008,1,3,MIN,O.J. Mayo,University of Southern California,8,547,16919,7574,1706,1607,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.8,5.1
2008,1,4,SEA,Russell Westbrook,"University of California, Los Angeles",9,626,21334,13814,3698,4860,0.434,0.307,0.818,34.1,22.1,5.9,7.8,73.2,0.165,5.8,41.7
2008,1,5,MEM,Kevin Love,"University of California, Los Angeles",9,549,17951,10160,6305,1309,0.444,0.366,0.819,32.7,18.5,11.5,2.4,68.9,0.184,3.2,23.4
2008,1,6,NYK,Danilo Gallinari,,8,431,13347,6488,1996,836,0.416,0.367,0.858,31,15.1,4.6,1.9,37.4,0.134,1.1,10.3
2008,1,7,LAC,Eric Gordon,Indiana University,9,456,15341,7630,1157,1485,0.435,0.387,0.816,33.6,16.7,2.5,3.3,25.5,0.08,-0.5,6
2008,1,8,MIL,Joe Alexander,West Virginia University,2,67,745,282,120,44,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.3,-0.2
2008,1,9,CHA,D.J. Augustin,University of Texas at Austin,9,612,14644,5938,1096,2407,0.404,0.375,0.867,23.9,9.7,1.8,3.9,31.1,0.102,-1.5,1.9
2008,1,10,NJN,Brook Lopez,Stanford University,9,521,16892,9589,3773,779,0.508,0.324,0.795,32.4,18.4,7.2,1.5,47.3,0.134,0.9,12.3
2008,1,11,IND,Jerryd Bayless,University of Arizona,9,513,10904,4393,1093,1501,0.414,0.366,0.825,21.3,8.6,2.1,2.9,17.6,0.078,-1.7,0.7
2008,1,12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-1.7,1.3
2008,1,13,POR,Brandon Rush,University of Kansas,9,447,9676,3080,1329,430,0.429,0.403,0.704,21.6,6.9,3,1,10.7,0.053,-1.7,0.6
2008,1,14,GSW,Anthony Randolph,Louisiana State University,6,252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-2.1,-0.1
2008,1,15,PHO,Robin Lopez,Stanford University,9,586,13177,4998,3225,378,0.528,0,0.761,22.5,8.5,5.5,0.6,36,0.131,0.5,8.5
2008,1,16,PHI,Marreese Speights,University of Florida,9,611,9329,4876,2570,387,0.465,0.342,0.798,15.3,8,4.2,0.6,23.9,0.123,-3,-2.3
2008,1,17,TOR,Roy Hibbert,Georgetown University,9,647,16240,6562,4143,882,0.464,0.25,0.754,25.1,10.1,6.4,1.4,35.5,0.105,0.2,9.2
2008,1,18,WAS,JaVale McGee,"University of Nevada, Reno",9,451,8258,3581,2322,146,0.547,0.125,0.578,18.3,7.9,5.1,0.3,20.7,0.12,-0.9,2.4
2008,1,19,CLE,J.J. Hickson,North Carolina State University,8,534,11925,5081,3639,449,0.505,0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,-2.3,-0.9
2008,1,20,CHA,Alexis Ajinca,,7,274,3615,1436,1063,138,0.5,0.293,0.803,13.2,5.2,3.9,0.5,6.9,0.091,-2.4,-0.4
2008,1,21,NJN,Ryan Anderson,University of California,9,524,13828,6897,2899,473,0.424,0.38,0.863,26.4,13.2,5.5,0.9,40.3,0.14,0.9,10.3
2008,1,22,ORL,Courtney Lee,Western Kentucky University,9,633,17418,6104,1653,1004,0.45,0.389,0.846,27.5,9.6,2.6,1.6,31.6,0.087,-0.2,7.9
2008,1,23,UTA,Kosta Koufos,Ohio State University,9,540,8704,3044,2621,211,0.533,0,0.599,16.1,5.6,4.9,0.4,22.7,0.125,-0.9,2.5
2008,1,24,SEA,Serge Ibaka,,8,563,16298,6662,4153,350,0.52,0.36,0.748,28.9,11.8,7.4,0.6,50.7,0.149,0.9,11.9
2008,1,25,HOU,Nicolas Batum,,9,587,18519,6978,3125,2059,0.439,0.358,0.836,31.5,11.9,5.3,3.5,45.1,0.117,2.8,22.6
2008,1,26,SAS,George Hill,Indiana University-Purdue University Indianapolis,9,566,16311,6501,1817,1869,0.453,0.381,0.801,28.8,11.5,3.2,3.3,50.7,0.149,2.1,16.8
2008,1,27,NOH,Darrell Arthur,University of Kansas,8,460,8416,3066,1677,374,0.445,0.337,0.763,18.3,6.7,3.6,0.8,11.5,0.066,-1.9,0.1
2008,1,28,MEM,Donte Greene,Syracuse University,4,253,4259,1541,600,183,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-3.8,-2
2008,1,29,DET,D.J. White,Indiana University,6,138,2111,810,437,80,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087,-3.3,-0.7
2008,1,30,BOS,J.R. Giddens,University of New Mexico,2,38,247,73,54,13,0.476,0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,-4.6,-0.2
2008,2,31,MIN,Nikola Pekovic,,6,271,6744,3405,1807,199,0.518,,0.76,24.9,12.6,6.7,0.7,18.8,0.134,-0.8,2
2008,2,32,SEA,Walter Sharpe,University of Alabama at Birmingham,1,8,20,8,3,0,0.364,0,0,2.5,1,0.4,0,-0.1,-0.131,-16.5,-0.1
2008,2,33,POR,Joey Dorsey,University of Memphis,4,130,1488,344,513,55,0.534,0,0.375,11.4,2.6,3.9,0.4,2.9,0.092,-1.3,0.3
2008,2,34,MIN,Mario Chalmers,University of Kansas,8,580,15824,5236,1428,2215,0.421,0.358,0.786,27.3,9,2.5,3.8,31.7,0.096,0.5,10.1
2008,2,35,LAC,DeAndre Jordan,Texas A&M University,9,632,17326,5596,6243,381,0.67,0.1,0.429,27.4,8.9,9.9,0.6,60.3,0.167,1.9,17.1
2008,2,36,POR,Omer Asik,,7,450,9020,2457,3313,277,0.529,0,0.554,20,5.5,7.4,0.6,21,0.112,-1.4,1.4
2008,2,37,MIL,Luc Mbah a Moute,"University of California, Los Angeles",9,579,13496,3658,2532,508,0.447,0.318,0.658,23.3,6.3,4.4,0.9,21.7,0.077,-0.9,3.6
2008,2,38,CHA,Kyle Weaver,Washington State University,3,73,1379,363,158,119,0.441,0.353,0.736,18.9,5,2.2,1.6,1.5,0.051,-1.3,0.3
2008,2,39,CHI,Sonny Weems,University of Arkansas,4,183,3335,1189,402,257,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0,0.001,-4.2,-1.9
2008,2,40,NJN,Chris Douglas-Roberts,University of Memphis,6,222,4381,1571,472,254,0.439,0.329,0.831,19.7,7.1,2.1,1.1,5.4,0.059,-2.9,-1
2008,2,41,IND,Nathan Jawai,,2,45,431,126,106,24,0.435,0,0.684,9.6,2.8,2.4,0.5,0.2,0.02,-4,-0.2
2008,2,42,SAC,Sean Singletary,University of Virginia,1,37,303,90,35,29,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0,0.006,-4.9,-0.2
2008,2,43,SAC,Patrick Ewing,Georgetown University,1,7,19,3,2,2,0,0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158,-9.3,0
2008,2,44,UTA,Ante Tomic,,,,,,,,,,,,,,,,,,
2008,2,45,SAS,Goran Dragic,,9,606,16504,7755,1738,2900,0.469,0.359,0.753,27.2,12.8,2.9,4.8,38.8,0.113,1.2,13.2
2008,2,46,SEA,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,,,,
2008,2,47,WAS,Bill Walker,Kansas State University,5,181,3016,1079,401,153,0.446,0.369,0.76,16.7,6,2.2,0.8,5,0.079,-1.3,0.5
2008,2,48,PHO,Malik Hairston,University of Oregon,2,62,472,149,77,29,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,0.086,-1.9,0
2008,2,49,GSW,Richard Hendrix,University of Alabama,,,,,,,,,,,,,,,,,
2008,2,50,SEA,DeVon Hardin,University of California,,,,,,,,,,,,,,,,,
2008,2,51,DAL,Shan Foster,Vanderbilt University,,,,,,,,,,,,,,,,,
2008,2,52,MIA,Darnell Jackson,University of Kansas,3,138,1039,308,203,26,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059,-4.9,-0.7
2008,2,53,UTA,Tadija Dragicevic,,,,,,,,,,,,,,,,,,
2008,2,54,HOU,Maarty Leunen,University of Oregon,,,,,,,,,,,,,,,,,
2008,2,55,POR,Mike Taylor,Iowa State University,1,51,771,289,87,106,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.028,-5.5,-0.7
2008,2,56,SEA,Sasha Kaun,University of Kansas,1,25,95,23,26,3,0.529,,0.455,3.8,0.9,1,0.1,0.2,0.096,-0.8,0
2008,2,57,SAS,James Gist,University of Maryland,,,,,,,,,,,,,,,,,
2008,2,58,LAL,Joe Crawford,University of Kentucky,1,2,23,9,4,1,0.3,0.25,1,11.5,4.5,2,0.5,0,0.037,-5.6,0
2008,2,59,DET,Deron Washington,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,
2008,2,60,BOS,Semih Erden,,2,69,928,262,190,29,0.546,,0.594,13.4,3.8,2.8,0.4,1.8,0.094,-2,0
2007,1,1,POR,Greg Oden,Ohio State University,3,105,2028,840,656,51,0.574,,0.658,19.3,8,6.2,0.5,7.3,0.174,1.1,1.6
2007,1,2,SEA,Kevin Durant,University of Texas at Austin,10,680,25558,18579,4857,2541,0.486,0.38,0.881,37.6,27.3,7.1,3.7,115.5,0.217,5,45
2007,1,3,ATL,Al Horford,University of Florida,10,606,20264,8717,5334,1727,0.53,0.339,0.747,33.4,14.4,8.8,2.8,66.7,0.158,3,25.7
2007,1,4,MEM,Mike Conley,Ohio State University,10,665,21585,9158,1920,3746,0.44,0.376,0.81,32.5,13.8,2.9,5.6,56.5,0.126,1.6,19.6
2007,1,5,BOS,Jeff Green,Georgetown University,9,674,21266,9238,3212,1103,0.437,0.337,0.789,31.6,13.7,4.8,1.6,32.4,0.073,-1.2,4.4
2007,1,6,MIL,Yi Jianlian,,5,272,6038,2148,1339,192,0.404,0.333,0.78,22.2,7.9,4.9,0.7,3.1,0.025,-4.7,-4.1
2007,1,7,MIN,Corey Brewer,University of Florida,10,669,16351,6352,1960,1089,0.424,0.285,0.711,24.4,9.5,2.9,1.6,18.7,0.055,-1,4.3
2007,1,8,CHA,Brandan Wright,University of North Carolina,8,372,6121,2648,1387,171,0.608,0,0.677,16.5,7.1,3.7,0.5,23.3,0.183,1.7,5.7
2007,1,9,CHI,Joakim Noah,University of Florida,10,606,17621,5512,5683,1786,0.491,0,0.701,29.1,9.1,9.4,2.9,59,0.161,4.2,27.5
2007,1,10,SAC,Spencer Hawes,University of Washington,10,658,15224,5799,3810,1239,0.457,0.352,0.712,23.1,8.8,5.8,1.9,21.9,0.069,-0.7,4.9
2007,1,11,ATL,Acie Law,Texas A&M University,4,188,2385,725,195,309,0.413,0.235,0.778,12.7,3.9,1,1.6,1.6,0.032,-5.4,-2
2007,1,12,PHI,Thaddeus Young,Georgia Institute of Technology,10,703,21550,9703,4156,1071,0.499,0.331,0.683,30.7,13.8,5.9,1.5,44.9,0.1,0.3,12.6
2007,1,13,NOK,Julian Wright,University of Kansas,4,231,3049,907,531,182,0.499,0.262,0.584,13.2,3.9,2.3,0.8,3.9,0.061,-1.3,0.5
2007,1,14,LAC,Al Thornton,Florida State University,4,296,8274,3527,1233,353,0.452,0.293,0.747,28,11.9,4.2,1.2,6.1,0.035,-3.5,-3.1
2007,1,15,DET,Rodney Stuckey,Eastern Washington University,10,629,17539,8058,1874,2284,0.425,0.299,0.825,27.9,12.8,3,3.6,29,0.079,-1.3,3.2
2007,1,16,WAS,Nick Young,University of Southern California,10,611,14361,7300,1240,627,0.42,0.376,0.834,23.5,11.9,2,1,16.1,0.054,-3.4,-5.1
2007,1,17,NJN,Sean Williams,Boston College,4,137,1978,581,472,47,0.511,0,0.624,14.4,4.2,3.4,0.3,3,0.073,-2,0
2007,1,18,GSW,Marco Belinelli,,10,604,13972,5792,1232,995,0.425,0.383,0.823,23.1,9.6,2,1.6,22,0.076,-1.6,1.5
2007,1,19,LAL,Javaris Crittenton,Georgia Institute of Technology,2,113,1853,595,276,201,0.442,0.231,0.638,16.4,5.3,2.4,1.8,0.1,0.002,-4.3,-1.1
2007,1,20,MIA,Jason Smith,Colorado State University,9,524,8886,3316,1805,400,0.468,0.306,0.782,17,6.3,3.4,0.8,11.9,0.064,-2.7,-1.7
2007,1,21,PHI,Daequan Cook,Ohio State University,6,328,5993,2114,703,243,0.369,0.359,0.813,18.3,6.4,2.1,0.7,4.9,0.039,-3.6,-2.4
2007,1,22,CHA,Jared Dudley,Boston College,10,706,17086,5925,2407,1129,0.47,0.401,0.732,24.2,8.4,3.4,1.6,38.9,0.109,1.4,14.5
2007,1,23,NYK,Wilson Chandler,DePaul University,9,479,14893,6650,2590,851,0.443,0.34,0.771,31.1,13.9,5.4,1.8,21.5,0.069,-0.7,4.7
2007,1,24,PHO,Rudy Fernandez,,4,249,5965,2254,608,554,0.399,0.36,0.84,24,9.1,2.4,2.2,14.2,0.114,1.8,5.7
2007,1,25,UTA,Morris Almond,Rice University,3,38,361,119,46,12,0.381,0.292,0.743,9.5,3.1,1.2,0.3,0,0.005,-6.4,-0.4
2007,1,26,HOU,Aaron Brooks,University of Oregon,9,583,12876,6063,1034,1862,0.414,0.369,0.841,22.1,10.4,1.8,3.2,19.2,0.072,-1.6,1.3
2007,1,27,DET,Arron Afflalo,"University of California, Los Angeles",10,679,19296,7737,2049,1310,0.451,0.384,0.823,28.4,11.4,3,1.9,32.6,0.081,-0.9,5.4
2007,1,28,SAS,Tiago Splitter,,6,347,6736,2777,1757,419,0.557,0,0.696,19.4,8,5.1,1.2,25.2,0.179,2,6.8
2007,1,29,PHO,Alando Tucker,University of Wisconsin,3,51,426,211,49,16,0.423,0.294,0.783,8.4,4.1,1,0.3,0.4,0.045,-6.7,-0.5
2007,1,30,PHI,Petteri Koponen,,,,,,,,,,,,,,,,,,
2007,2,31,SEA,Carl Landry,Purdue University,9,513,11524,5541,2533,355,0.535,0.3,0.785,22.5,10.8,4.9,0.7,35.9,0.149,-1.1,2.6
2007,2,32,BOS,Gabe Pruitt,University of Southern California,2,62,461,125,51,52,0.321,0.283,0.783,7.4,2,0.8,0.8,0.4,0.043,-3.1,-0.1
2007,2,33,SAS,Marcus Williams,University of Arizona,2,13,39,14,12,3,0.318,,,3,1.1,0.9,0.2,-0.1,-0.084,-7.5,-0.1
2007,2,34,DAL,Nick Fazekas,"University of Nevada, Reno",1,26,269,107,89,11,0.561,0,0.682,10.3,4.1,3.4,0.4,0.8,0.148,-0.1,0.1
2007,2,35,SEA,Glen Davis,Louisiana State University,8,514,10865,4111,2236,457,0.447,0.182,0.7,21.1,8,4.4,0.9,18.6,0.082,-2.3,-0.8
2007,2,36,GSW,Jermareo Davidson,University of Alabama,2,52,433,162,96,14,0.425,,0.578,8.3,3.1,1.8,0.3,0,0,-7.6,-0.6
2007,2,37,POR,Josh McRoberts,Duke University,10,431,8265,2333,1686,901,0.464,0.341,0.705,19.2,5.4,3.9,2.1,18.4,0.107,1,6.2
2007,2,38,PHI,Kyrylo Fesenko,,5,135,1107,305,269,40,0.496,0,0.41,8.2,2.3,2,0.3,0.9,0.038,-4,-0.6
2007,2,39,MIA,Stanko Barac,,,,,,,,,,,,,,,,,,
2007,2,40,LAL,Sun Yue,,1,10,28,6,0,2,0.273,0,,2.8,0.6,0,0.2,-0.1,-0.226,-15.2,-0.1
2007,2,41,MIN,Chris Richard,University of Florida,2,70,780,135,194,25,0.483,,0.605,11.1,1.9,2.8,0.4,0.7,0.045,-3.5,-0.3
2007,2,42,POR,Derrick Byars,Vanderbilt University,1,2,37,10,11,1,0.273,0,1,18.5,5,5.5,0.5,0.1,0.147,0.6,0
2007,2,43,NOK,Adam Haluska,University of Iowa,,,,,,,,,,,,,,,,,
2007,2,44,ORL,Reyshawn Terry,University of North Carolina,,,,,,,,,,,,,,,,,
2007,2,45,LAC,Jared Jordan,Marist College,,,,,,,,,,,,,,,,,
2007,2,46,GSW,Stephane Lasme,University of Massachusetts Amherst,1,16,303,83,53,3,0.451,,0.594,18.9,5.2,3.3,0.2,0.3,0.041,-2.8,-0.1
2007,2,47,WAS,Dominic McGuire,"California State University, Fresno",6,342,5348,939,1169,422,0.419,0.188,0.658,15.6,2.7,3.4,1.2,4.1,0.037,-1.6,0.6
2007,2,48,LAL,Marc Gasol,,9,607,20475,8895,4657,1905,0.499,0.323,0.769,33.7,14.7,7.7,3.1,66.1,0.155,3.7,29.3
2007,2,49,CHI,Aaron Gray,University of Pittsburgh,7,318,3851,1066,1190,207,0.509,0,0.562,12.1,3.4,3.7,0.7,6.2,0.077,-1.8,0.2
2007,2,50,DAL,Renaldas Seibutis,,,,,,,,,,,,,,,,,,
2007,2,51,CHI,JamesOn Curry,Oklahoma State University,1,1,0,0,0,0,,,,0,0,0,0,0,,,0
2007,2,52,POR,Taurean Green,University of Florida,1,17,74,27,10,11,0.28,0.182,0.917,4.4,1.6,0.6,0.6,-0.1,-0.066,-8.2,-0.1
2007,2,53,POR,Demetris Nichols,Syracuse University,2,18,58,22,7,2,0.281,0.2,0.5,3.2,1.2,0.4,0.1,-0.2,-0.203,-15.3,-0.2
